Tanggal,Arah Angin Saat Kec Maks,Arah Angin Terbanyak,Kec Angin Maks,Kec Angin Rata-rata,Kelembaban,Lamanya Penyinaran,Temp Maks,Temp Min,Temp Rata-rata,Curah Hujan
43629,70.0,C ,3.0,1.0,80.0,9.3,33.8,25.0,29.4,
43630,230.0,E ,4.0,1.0,83.0,2.5,32.6,25.0,27.8,0.0
43631,70.0,E ,4.0,1.0,81.0,4.5,32.7,25.0,28.6,16.5
43632,160.0,C ,3.0,1.0,81.0,7.4,32.4,25.0,29.1,
43633,60.0,E ,3.0,1.0,79.0,0.9,32.2,24.0,28.1,6.8
43634,70.0,E ,4.0,2.0,73.0,4.1,32.8,23.0,27.8,
43635,70.0,E ,4.0,2.0,70.0,5.6,33.6,23.0,27.8,
43636,250.0,E ,4.0,1.0,71.0,9.9,33.4,24.0,28.4,0.0
43637,170.0,C ,3.0,1.0,74.0,7.0,32.2,24.0,28.2,
43638,130.0,C ,3.0,1.0,73.0,0.9,32.6,24.0,28.0,
43639,250.0,C ,3.0,1.0,73.0,1.9,33.0,24.0,27.9,0.0
43640,140.0,C ,2.0,1.0,71.0,6.2,31.8,24.0,27.9,
43641,50.0,E ,4.0,2.0,69.0,1.7,33.8,23.0,28.2,
43642,40.0,E ,3.0,2.0,73.0,5.6,32.4,23.0,27.9,0.0
43643,200.0,S ,3.0,2.0,68.0,8.1,34.0,23.0,28.5,
43644,220.0,C ,3.0,1.0,72.0,10.0,33.4,23.0,28.5,
43645,70.0,E ,3.0,2.0,67.0,1.0,33.6,24.0,28.3,0.0
43646,60.0,SE,3.0,1.0,69.0,9.7,33.2,25.0,28.5,
43647,190.0,SE,3.0,2.0,71.0,9.6,33.0,23.0,27.7,0.0
43648,60.0,E ,3.0,2.0,69.0,9.3,32.8,24.0,28.1,
43649,70.0,E ,4.0,2.0,70.0,10.0,33.6,24.0,28.5,0.0
43650,200.0,C ,4.0,2.0,80.0,8.9,32.8,25.0,28.3,
43651,250.0,C ,3.0,1.0,78.0,8.3,32.0,24.0,27.9,0.0
43652,50.0,NE,4.0,2.0,72.0,4.3,33.4,24.0,28.6,3.0
43653,60.0,E ,4.0,2.0,72.0,9.7,33.4,24.0,29.1,
43654,90.0,E ,4.0,2.0,72.0,3.9,33.6,25.0,28.9,0.0
43655,160.0,C ,3.0,1.0,76.0,8.9,32.9,24.0,28.3,0.8
43656,80.0,E ,4.0,2.0,70.0,9.8,32.2,23.0,27.4,
43657,50.0,NE,5.0,2.0,70.0,4.5,32.8,23.0,27.4,0.0
43658,130.0,E ,3.0,1.0,70.0,8.6,33.0,23.0,27.6,
43659,180.0,C ,3.0,1.0,71.0,9.3,33.4,23.0,28.1,
43660,100.0,C ,3.0,1.0,74.0,8.1,31.6,24.0,27.4,0.0
43661,60.0,E ,4.0,2.0,71.0,5.6,32.4,22.0,27.0,
43662,180.0,C ,4.0,1.0,65.0,8.4,33.4,22.0,27.8,
43663,60.0,E ,4.0,2.0,64.0,9.7,32.8,22.0,26.9,0.0
43664,40.0,E ,6.0,2.0,66.0,9.5,33.4,22.0,27.1,
43665,90.0,E ,4.0,2.0,67.0,9.9,33.2,23.0,28.7,
43666,40.0,C ,3.0,1.0,68.0,9.2,33.3,24.0,29.5,
43667,60.0,C ,4.0,2.0,68.0,6.2,34.3,25.0,29.8,
43668,110.0,C ,3.0,1.0,74.0,9.9,33.6,25.0,29.2,
43669,60.0,NE,5.0,2.0,70.0,8.2,33.6,24.0,28.6,
43670,80.0,NE,4.0,2.0,71.0,9.4,34.0,24.0,28.6,
43671,60.0,S ,3.0,2.0,75.0,9.8,33.8,23.0,27.8,
43672,150.0,E ,3.0,2.0,80.0,8.3,33.4,24.0,27.9,
43673,70.0,NE,3.0,2.0,78.0,8.5,32.6,24.0,27.8,0.0
43674,210.0,C ,4.0,1.0,79.0,9.3,34.2,24.0,28.3,0.0
43675,300.0,C ,4.0,1.0,78.0,8.9,32.2,24.0,27.9,0.0
