Tanggal,Arah Angin Saat Kec Maks,Arah Angin Terbanyak,Kec Angin Maks,Kec Angin Rata-rata,Kelembaban,Lamanya Penyinaran,Temp Maks,Temp Min,Temp Rata-rata,Curah Hujan
44143,70.0,C ,7.0,1.0,86.0,4.5,31.9,24.5,26.3,0.4
44144,80.0,E ,3.0,2.0,76.0,5.3,33.8,23.6,28.6,5.5
44145,200.0,W ,3.0,1.0,74.0,9.5,33.0,24.9,29.1,0.0
44146,40.0,E ,4.0,1.0,75.0,4.4,33.4,25.0,29.2,4.6
44147,60.0,NE,4.0,2.0,77.0,9.0,33.4,25.0,29.0,
44148,80.0,E ,3.0,2.0,76.0,4.0,34.0,25.0,29.9,8888.0
44149,40.0,C ,3.0,1.0,74.0,10.3,34.6,25.0,30.2,0.0
44150,80.0,E ,4.0,2.0,69.0,8.0,34.8,26.1,29.8,0.0
44151,80.0,E ,4.0,2.0,76.0,6.7,33.6,26.2,29.5,0.0
44152,180.0,C ,4.0,1.0,79.0,5.4,34.6,26.4,28.8,1.2
44153,230.0,C ,4.0,1.0,81.0,5.5,32.2,25.8,28.1,
44154,80.0,C ,3.0,1.0,73.0,3.2,33.4,24.4,29.4,20.3
44155,60.0,C ,3.0,1.0,79.0,6.7,32.8,24.4,28.9,0.0
44156,210.0,C ,4.0,1.0,81.0,4.0,32.4,25.0,27.8,3.6
44157,170.0,W ,3.0,1.0,86.0,3.1,31.6,24.4,26.6,27.0
44158,250.0,C ,5.0,1.0,88.0,2.7,32.8,24.6,26.7,13.7
44159,260.0,W ,4.0,2.0,84.0,0.4,32.8,24.2,26.9,0.3
44160,230.0,C ,4.0,2.0,82.0,5.6,34.2,24.2,27.9,34.7
44161,250.0,C ,3.0,1.0,76.0,7.4,34.2,24.2,29.0,8888.0
44162,250.0,SW,4.0,2.0,73.0,8.7,34.2,25.2,29.0,0.0
44163,210.0,C ,4.0,2.0,76.0,4.3,34.3,25.4,28.9,1.9
44164,250.0,SW,7.0,4.0,81.0,4.2,32.4,26.0,27.7,0.0
44165,240.0,SW,4.0,3.0,84.0,1.5,31.2,23.8,26.9,2.5
44166,240.0,SW,7.0,4.0,77.0,2.4,33.2,23.7,28.2,8888.0
44167,200.0,W ,3.0,2.0,73.0,9.5,34.3,23.7,29.6,
44168,200.0,C ,3.0,1.0,85.0,7.0,31.8,24.2,26.4,15.8
44169,200.0,SW,4.0,2.0,82.0,2.5,31.9,24.0,27.8,2.5
44170,270.0,W ,4.0,2.0,85.0,5.9,29.1,25.1,26.5,2.0
44171,260.0,W ,4.0,1.0,93.0,1.7,28.0,24.4,25.6,13.8
44172,260.0,W ,5.0,2.0,91.0,0.0,29.2,23.4,25.3,46.5
44173,270.0,SW,6.0,3.0,83.0,0.1,30.4,23.4,27.2,14.9
44174,270.0,W ,5.0,2.0,88.0,7.0,31.0,24.6,27.3,1.3
44175,250.0,W ,3.0,2.0,84.0,4.5,31.0,25.0,27.1,2.0
44176,210.0,C ,3.0,2.0,82.0,3.7,31.4,25.0,28.0,1.0
44177,260.0,SW,5.0,2.0,80.0,3.1,31.2,24.2,27.1,1.5
44178,250.0,C ,4.0,1.0,85.0,3.5,30.8,24.2,26.7,8888.0
44179,240.0,SW,5.0,3.0,82.0,2.6,31.5,24.4,27.4,8888.0
44180,240.0,SW,5.0,3.0,80.0,1.3,32.0,24.4,27.6,11.0
44181,250.0,SW,5.0,4.0,81.0,2.2,32.0,24.4,27.5,0.0
44182,250.0,SW,6.0,3.0,83.0,2.8,30.8,23.4,26.9,6.8
44183,260.0,W ,7.0,4.0,82.0,3.5,32.0,24.4,27.3,8888.0
44184,260.0,W ,5.0,3.0,80.0,3.3,32.4,24.6,27.2,
44185,240.0,SW,6.0,3.0,84.0,5.4,30.8,24.6,26.8,8888.0
44186,260.0,SW,5.0,3.0,83.0,2.7,29.6,24.2,26.7,0.4
44187,260.0,W ,4.0,2.0,80.0,0.2,31.6,24.2,27.8,0.0
44188,250.0,SW,5.0,2.0,77.0,2.0,34.0,24.2,28.3,0.3
44189,250.0,W ,7.0,3.0,78.0,7.5,33.2,,27.9,0.0
44190,250.0,SW,5.0,3.0,76.0,4.8,33.6,24.6,28.3,8888.0
44191,260.0,SW,5.0,3.0,74.0,7.2,33.8,24.2,28.2,0.1
44192,240.0,SW,4.0,2.0,74.0,5.7,33.7,,29.0,0.0
44193,240.0,SW,5.0,3.0,77.0,6.8,32.8,25.4,28.1,
44194,240.0,SW,7.0,3.0,82.0,6.1,30.8,24.8,27.1,0.1
44195,260.0,W ,4.0,2.0,81.0,1.4,30.8,24.6,27.0,0.3
44196,250.0,SW,4.0,2.0,88.0,0.1,29.8,24.4,26.4,0.5
